,id,timestamp,text,speaker,reply_to,conversation_id,meta.receiver,meta.absolute_message_index,meta.relative_message_index,meta.year,meta.game_score,meta.game_score_delta,intent
367,Game9-france-russia-112,797,Not without losses unfortunately. You know it might be more easy for me to put a fleet in the Norwegian sea if you didn't put so much pressure on the Germans.,russia-Game9,Game9-france-russia-111,Game9-france-russia,france-Game9,797,112,1902,6,1,0
615,Game6-austria-russia-1,40,"Greetings Austria, nice to make your acquaintance.

This is definitely a unique game given the time constraints and high stakes. I intend to strike Northwest in an attempt to build a large fleet line extending across the North Atlantic. I need your cooperation to make this work, however. I need you to eliminate Turkey as a threat, and quickly so that I can turn my full attention North. Here is what I propose:

I take RUM, but agree to take no centers South of RUM.
Spring 1901 I move A MOS-STP
We both agree to a total DMZ in GAL
Fall 1901 I will move A WAR North
I will use any available strength along my Southern border to support you in taking the Balkans and Turkey throughout the game.

I think if we can both maintain trust you and I can hold the majority of centers between the two of us in 1910, and we'll both walk out of this game with the spoils. What do you think?",russia-Game6,Game6-austria-russia-0,Game6-austria-russia,austria-Game6,40,1,1901,4,1,1
201,Game2-germany-russia-41,1150,"Yeah. I may have to ally with england to stop Austria. Apparently, he is the top ranked player in the world.",germany-Game2,Game2-germany-russia-40,Game2-germany-russia,russia-Game2,1150,41,1902,5,2,0
628,Game11-austria-germany-263,1262,So I just realized that my mind made a goof and Warsaw doesn't border Bohemia. Would you mind terribly if I moved into Galicia to help ensure you can expel the French? From there we can mutually bounce in Budapest while displacing Venice (Assuming that you don't successfully occupy Budapest in Spring). You'll need to hold Budapest on your own power for the first turn though.,germany-Game11,Game11-austria-germany-262,Game11-austria-germany,austria-Game11,1262,263,1906,11,4,0
384,Game1-italy-russia-73,1942,Shall we get you Budapest or Munich this year?,italy-Game1,Game1-italy-russia-72,Game1-italy-russia,russia-Game1,1942,73,1907,10,5,1
988,Game3-england-russia-104,911,Thank you sir,england-Game3,Game3-england-russia-103,Game3-england-russia,russia-Game3,911,104,1903,7,2,0
1273,Game12-france-russia-30,785,Could you get me intel on England’s next moves?,russia-Game12,Game12-france-russia-29,Game12-france-russia,france-Game12,785,30,1906,11,5,0
184,Game4-italy-france-58,1145,Sorry for changing the plan- I desperately needed the builds to have even a small chance of attacking England- just wanted to say that I have absolutely nothing else to gain from attacking you,france-Game4,Game4-italy-france-57,Game4-italy-france,italy-Game4,1145,58,1904,9,7,1
794,Game11-turkey-austria-31,394,"I’d support yourself to hold in Galicia, but you might have other designs for your units.",turkey-Game11,Game11-turkey-austria-30,Game11-turkey-austria,austria-Game11,394,31,1902,4,0,0
681,Game2-austria-germany-314,1958,"While you're being nice to him, he's planning his attack",austria-Game2,Game2-austria-germany-313,Game2-austria-germany,germany-Game2,1958,314,1904,7,0,1
387,Game1-england-italy-331,1926,"I like it. 

As I think about it more, you may be better off moving North to Holland, expecting a bounce there. I think you’re slightly better off keeping the German fleet in Kiel, as it’s one less German unit in North Sea, but it’s not a huge difference either way.",italy-Game1,Game1-england-italy-330,Game1-england-italy,england-Game1,1926,331,1907,10,5,1
1325,Game1-germany-france-37,625,"Let's say he gets 2 builds and builds 2 fleets. Am I going to be able to stop him, even if Russia and I team up? He'll dominate the entire ocean.",france-Game1,Game1-germany-france-36,Game1-germany-france,germany-Game1,625,37,1903,6,2,1
134,Game1-england-germany-58,404,Keep in mind that Munich is vulnerable. Italy and Austria may have a deal in the works for that. But this is the sort of plan that I had thought through originally.,england-Game1,Game1-england-germany-57,Game1-england-germany,germany-Game1,404,58,1902,4,-1,0
412,Game9-turkey-russia-42,719,"Yeah, obviously it's temporary, but in the short term having them on our side helps us speed Austria's demise significantly, and their position will be absurdly weak.",russia-Game9,Game9-turkey-russia-41,Game9-turkey-russia,turkey-Game9,719,42,1902,6,2,1
833,Game1-austria-germany-13,843,"Not sure if this is obvious, but Russia indicated to me that they are prioritizing defending Rumania over Ankara, in case that changes your and Italy's plans for that region. Congrats by the way on crushing Turkey",germany-Game1,Game1-austria-germany-12,Game1-austria-germany,austria-Game1,843,13,1904,4,-2,0
728,Game1-austria-italy-75,717,"Sorry it took me a moment to respond, it's the MLB home run derby tonight",austria-Game1,Game1-austria-italy-74,Game1-austria-italy,italy-Game1,717,75,1903,5,0,0
376,Game2-england-germany-477,3051,Would you be down to help me into Ven in a few turns. Now that you’re in mar and I’m in Tyr we’ve cracked the nut of Italy,germany-Game2,Game2-england-germany-476,Game2-england-germany,england-Game2,3051,477,1907,10,2,0
356,Game6-england-france-15,137,"Hey Engand; I know our relationship doesn't stand very well- but we need to stop Russia. They got 3 builds, and have a few more in their pocket, as they are about to crush Austria and turkey at the same time. And then, I'm not sure if you noticed.... but the build in Stp... could only mean one thing. I know your focused on taking my territory rn, but if you want to have any shot at winning your going to need to put aside our differences and get your fleets further south where they can stop russia",france-Game6,Game6-england-france-14,Game6-england-france,england-Game6,137,15,1902,4,0,1
715,Game2-turkey-germany-143,2032,I believe him but it's not enough if austria plays defensively and supports sev from Ukr and Rom,turkey-Game2,Game2-turkey-germany-142,Game2-turkey-germany,germany-Game2,2032,143,1904,4,-3,0
27,Game10-england-france-15,467,Any deals?,france-Game10,Game10-england-france-14,Game10-england-france,england-Game10,467,15,1903,3,-3,0
1158,Game1-italy-germany-213,1838,"I think that we should offer France Brest in Spring. That ensures that he is with us. Then, if conditions are right in the Fall, I can support you into Brest. But...England can offer France Belgium, and I think he is sure to take that if we’re not even offering him a center, right?",italy-Game1,Game1-italy-germany-212,Game1-italy-germany,germany-Game1,1838,213,1907,10,3,1
231,Game7-england-russia-48,829,Thanks! Hope you have a great rest of your game too.,russia-Game7,Game7-england-russia-47,Game7-england-russia,england-Game7,829,48,1906,4,3,0
214,Game3-england-france-100,1493,Just for more fun or what?,england-Game3,Game3-england-france-99,Game3-england-france,france-Game3,1493,100,1906,7,3,0
1226,Game3-austria-germany-11,595,Always,germany-Game3,Game3-austria-germany-10,Game3-austria-germany,austria-Game3,595,11,1902,5,1,0
1436,Game9-italy-france-14,578,"In my view, the fleet going to SC of Spain is a concession to England, but apparently he doesn't see things the same way. I suggest that we demilitarize Western Mediterranean for now. My fleet will go on standby in Lyon to defend Marseilles",france-Game9,Game9-italy-france-13,Game9-italy-france,italy-Game9,578,14,1902,5,1,0
1185,Game4-england-germany-77,525,But we can fix this,germany-Game4,Game4-england-germany-76,Game4-england-germany,england-Game4,525,77,1902,5,1,1
1023,Game6-austria-russia-5,44,"Bounce in the spring, hope for the DMZ in the fall",russia-Game6,Game6-austria-russia-4,Game6-austria-russia,austria-Game6,44,5,1901,4,1,1
642,Game11-austria-germany-59,295,Yeah I’ve talked with him a little and he agrees that a strong turkey will eventually be bad for him,austria-Game11,Game11-austria-germany-58,Game11-austria-germany,germany-Game11,295,59,1901,3,0,0
424,Game1-england-italy-280,1817,"So, here is the plan that Germany is telling me:

She wants to ensure she gets North Sea. So she is asking for this:

Den S Bel - North
Bel - North
Hol - Bel
Pic - Channel
Spa - Gas
Par S Sap - Gas
MAO - Irish",italy-Game1,Game1-england-italy-279,Game1-england-italy,england-Game1,1817,280,1907,10,5,1
712,Game1-england-russia-58,1122,What's a scenario in which you get a build in the south?,england-Game1,Game1-england-russia-57,Game1-england-russia,russia-Game1,1122,58,1905,5,0,0
1357,Game6-germany-france-107,476,"I was thinking A Ber - Sil
F Kie - BAL

with

F BAL - BOT
F Nwy - Stp/nc
F Pru S Stp - Lvn
A Stp - Lvn

and

A Hol - Ruh
A Mun - Boh
A Pie - Tyr
F Tun S TYS - ION
A Tus - Rom
F TYS - ION

I think Munich is safe no matter what happens (except if he vacates Bohemia).
St Petersburg is most likely locked down.
He expects you to move to Venice.  My guess is that he'll support himself on.  Let him.  You'll either slide into Rome or stop his fleet from doing the same.
Your fleet in TYS is protected.
I get to build an army, which should be the nail in the coffin of his chances to take a centre north of Switzerland.

Thoughts?",germany-Game6,Game6-germany-france-106,Game6-germany-france,france-Game6,476,107,1909,3,-4,0
1480,Game4-turkey-russia-39,661,Ok. Try again next turn,russia-Game4,Game4-turkey-russia-38,Game4-turkey-russia,turkey-Game4,661,39,1902,5,0,1
543,Game5-england-russia-22,268,"I'm debating between securing Hol and swinging down right away into Eng, what do you think?",england-Game5,Game5-england-russia-21,Game5-england-russia,russia-Game5,268,22,1903,7,0,1
567,Game9-england-france-20,322,I don't think it's going to happen. I'm not going to move to denmark.,england-Game9,Game9-england-france-19,Game9-england-france,france-Game9,322,20,1901,3,0,1
1310,Game2-england-germany-319,2239,I’m kinda busy this evening so I hope you guys can put together a good strategy,germany-Game2,Game2-england-germany-318,Game2-england-germany,england-Game2,2239,319,1905,9,3,0
876,Game2-austria-germany-6,147,Maine is beautiful! I used to go to scout camp there.,germany-Game2,Game2-austria-germany-5,Game2-austria-germany,austria-Game2,147,6,1901,3,0,1
1199,Game11-austria-germany-200,988,Ya I don’t know how much you can do right now,austria-Game11,Game11-austria-germany-199,Game11-austria-germany,germany-Game11,988,200,1904,6,-1,0
631,Game1-austria-italy-44,592,"Okay. If he does say anything to you about moving towards me, would you please let me know? I feel like he’s in an awfully strong position, and it makes me nervous.",italy-Game1,Game1-austria-italy-43,Game1-austria-italy,austria-Game1,592,44,1903,5,0,1
16,Game1-england-italy-179,1427,I don’t know anything specific. She’s just asking for my thoughts. I have not responded.,italy-Game1,Game1-england-italy-178,Game1-england-italy,england-Game1,1427,179,1906,8,3,1
1413,Game1-england-germany-372,1920,"WAIT NO (sorry I was making pie and lost track of this game): I'm waiting on confirmation from France about Pic-Bre, which I will bounce with Par-Bre",germany-Game1,Game1-england-germany-371,Game1-england-germany,england-Game1,1920,372,1907,7,2,1
907,Game2-austria-germany-100,669,The convoy was flashy but marooned an army.  We'll see,austria-Game2,Game2-austria-germany-99,Game2-austria-germany,germany-Game2,669,100,1901,5,0,0
8,Game4-austria-russia-12,260,"Don't believe Turkey, I said nothing of the sort. I imagine he's just trying to cause an upset between us.",austria-Game4,Game4-austria-russia-11,Game4-austria-russia,russia-Game4,260,12,1901,3,-1,1
1005,Game4-italy-france-4,136,I'm not 100% sure but I do think I will be playing some safe moves,france-Game4,Game4-italy-france-3,Game4-italy-france,italy-Game4,136,4,1901,3,0,0
1031,Game2-turkey-italy-65,572,"Ok, I mean we don’t have much more to talk about then.",italy-Game2,Game2-turkey-italy-64,Game2-turkey-italy,turkey-Game2,572,65,1901,4,-1,0
978,Game10-england-austria-31,245,"Thanks. If I were them, I definitely would move to Bur. I would also move to Tyr, but I’m weird.",england-Game10,Game10-england-austria-30,Game10-england-austria,austria-Game10,245,31,1901,3,0,0
432,Game9-turkey-france-30,1368,"Well, just putting the option out there I guess",turkey-Game9,Game9-turkey-france-29,Game9-turkey-france,france-Game9,1368,30,1903,4,-1,0
772,Game2-germany-france-6,299,I’ve set my order to Mun -> Burg,germany-Game2,Game2-germany-france-5,Game2-germany-france,france-Game2,299,6,1901,3,0,0
888,Game8-germany-france-2,20,I haven’t spoken with England yet but I’m in favor of an equal split of Belgium and Holland between us. I’d like to open against Russia so if we can agree to dmz burgundy that will also free you up to focus on either England or Italy. What do you think?,germany-Game8,Game8-germany-france-1,Game8-germany-france,france-Game8,20,2,1901,3,0,0
1281,Game1-england-italy-258,1782,"I think we should focus on getting your army to Pic this turn, and I can support you to Paris in the Fall.",italy-Game1,Game1-england-italy-257,Game1-england-italy,england-Game1,1782,258,1907,10,5,1
1466,Game9-italy-russia-320,1412,And yes I like everything you said up there,italy-Game9,Game9-italy-russia-319,Game9-italy-russia,russia-Game9,1412,320,1903,5,-5,0
1435,Game2-england-germany-96,1365,Taking the North Sea right now,germany-Game2,Game2-england-germany-95,Game2-england-germany,england-Game2,1365,96,1902,5,0,0
535,Game3-england-germany-261,1239,"Hmm both good ideas. Though it seems unlikely that you wouldn't bounce in Moscow without my support, and if I support you, then the whole rue with Austria is up",germany-Game3,Game3-england-germany-260,Game3-england-germany,england-Game3,1239,261,1905,7,1,0
1509,Game3-italy-germany-6,179,I can't tell much from either of them. what about you?,germany-Game3,Game3-italy-germany-5,Game3-italy-germany,italy-Game3,179,6,1901,3,0,1
